,Page in prototype,Stage,Location,Type - Email/ dashboard/ application,participant.1,participant.2,participant.3,participant.4,participant.5,feedback.positive,feedback.negative,feedback.video
11,Do you want the bailiff to collect the full debt?,writs,5,,"Yes, of course I do! If he’s vulnerable maybe not all. But go all in at first.","That’s got to be a yes. Answer no only if it was more realistic to get 2,000. Would be given options about how much to recover. Because it’s a business and he’s taking the mickey i’d click yes.","I would like it in full. If they make a payment plan with the bailiffs, who tells me? Is that between him and the bailiffs. I’d only select no if I knew he couldn’t pay it all.","Yes… why wouldn’t I? I can’t think of why i’d click no, he robbed me and damaged my roof. Bailiffs arranging payment plan / partial payment is at a later date when they actually get into contact with him.","That makes sense. I assume there would be something saying ‘there’s no point of return’ after clicking yes. Maybe credit card stage is the final no point of return. I may take 50%, would no give you an option to write how much you want? (yes)",,This question also led to come confusion,
12,Is this the address you want the bailiff to visit?,writs,7,,9/10 you already put in claim where he lives.,"If i had another address I would give it, which is good to know. Offering multiple addresses, maybe a phone number?","Yes. If i had other addresses like work addresses, i would add them in. No - then given the option to add more.","Yes, the address he provided me with. Again they’re asking me too many things to make this go wrong. 6 addresses and this is the one I think it is - already one visit I’ve paid for wrongly. The court should be checking if it is the right address. They should check if they have had no response to court communication from the address. They could throw the case out of the window. They can find out where does his payslips go to etc. Scaring someone and paying unnecessarily.",Has to be a legal reason as to why you provided the address.,Participants liked being able to provide as much information about the defendant as possible...but were concerned about the possible consequences of providing incorrect information,,
13,Do you have additional contact information for the defendant?,writs,8,,Two numbers. Clever builder can get rid of the sim if he owes lots of people money. And an e-mail address. ‘Add more details’ - e-mail and more numbers. Put everything. Information is power.,"Ah yes, excellent. Add contact details - other e-mails, other phone numbers, social media - anything to get a hook on.",Yes. Again if I had more numbers I would add them.,"Yes, assume I have spoken to him regarding the building work. He may have multiple phones, an e-mail address - would add any source that can help the court get into contact. I understand this kind of question as I may have had this kind of information. Give as much as possible.","Yes. He could have multiple numbers so I would provide these. Should have phone number format [+44] [xxxxxx]. Add more details - email, added info, car details, photos of car/person, associations with people (other forms of evidence) etc. (doesn’t assume other mobile phone numbers can be added here)","There were similar responses to the previous screen - “I’d put everything. Information is power.
Add contact details - other e-mails, other phone
numbers, social media - anything to get a hook on…..”
“...email, added info, car details, photos of car/person,
associations with people (other forms of evidence)”",,
14,Do you know which high court bailiff you want to use?,writs,select-hceo,,"? Where is the list? Otherwise, select bailiff for me. Potential list - the most successful bailiff, who get the best results. I would google them. I don’t know how the court picks the bailiff. I never knew this would come up, didn’t expect this. If i had chosen yes - I need to be the one to enter it. I would expect a list to choose from.","I can’t remember the names offhand - so yes you could enter it. I would go with no, they all cost the same 77, presumably all know what they’re doing. I would only care if I had had a bad experience with one of them or seen something bad on TV. I would expect a drop down menu and contact details. I would pick off of recognition.","No, I guess it’s whatever works geographically. That’s what I would expect. I wouldn’t really ever have a name for me. I’m happy for the court to choose unless someone recommended one.","No...why would I know? Off-putting as I don’t know the fees of the HCEO they’ve chosen. Help you to find a HCEO that is fair, reputable company - they are willing to have a discussion with AS. I’d like to know it was selected from good places rather than anyone that they can get a hold of. I hate the bailiffs, ignored them, they were aggressive. If someone actually had a conversation with me, they are more likely to get the kind of response that they want.","I’d not really know what this meant (a person, a particular court etc.), doesn’t clarify. I do know it has to be within the geographical area. Needs more information here. Criteria etc. Never seen that question before.","Not many participants were expecting to be given a choice, and there were concerns over who might be on that list",,
15,Check your answers,writs,check-answers,application,"Where is the list of bailiffs? I don’t get it. Court to select. Ah I told them. Only thing I would like to know is the bailiff company, but that’s all.","This is good as nothing has been in written in stone yet. You have the ability to change. Don’t know bailiff yet, i guess they pick who is available. Has everything I hoped would be there. All of this I’m doing myself. My friend has been paying a solicitor to do this. It’s def preferable to not pay the solicitor and do this yourself, i would tell him about this.",Pre-application before I submit.,"Confirming details, options to change everything. Yep.","Have the ability to change all these things in case you have made an error. Confirms everything you have done. Legal declaration, nice and short unlike some T&Cs. ‘You are still allowed to edit things’ message would be good after ticking the box.","This is a standard gov.uk pattern, and participants found it reassuring to still be able to edit their information at this point",,
16,Confirmation,writs,confirmation-page,application,You’re sending the information to the bailiff. I’ve paid the fee and you’re sending it to the bailiff.,That’s clear. It makes sense.,We’ve paid for the writ and it’s been sent to the bailiff - they have been instructed. Now I have to send the writ of control.,Payment accepted and it’s all gone through.,"You have made an application and are now enforcing the judgment. Another reference number - now got 3 numbers. I would want a physical letter, don’t trust GOV to email me. If i had an account with GOV.UK, if that was set internally I wouldn’t mind. There’s a lot of scam emails nowadays.",,"“Another reference number - [I’ve] now got 3 numbers!” Should there be somewhere all these reference numbers are held for easy access and to keep track of them? One participant wanted a physical letter
of confirmation due to the prevalence of
scam emails - although if received
internally via their GOV.UK account
that would be acceptable.",
17,Claimant dashboard - Writ of Control approved,claimant-dashboard,case?writApproved=true&writReady=true,application,This is sending the details to the account. I would think that there must be a link to the bailiff from this system. Don’t want court involved. It has to be direct. What bailiff will do - I want to see this. They’re still not telling you the company you are using. After this I expect that it’s confirmed with the bailiff.,"I’d still want to look at what ‘a bailiff would do’ - Yep, perfect, it’s what I expected. Next, I would expect like a confirmation - starting the process.","I would click to see what the bailiff can do. I would then send it off. This page is just detailing what the next stage would be, timescales, payment plans etc. Everything there is what I expect.","I’ve been through this so I know this. This is fine. Basically outlining what you need to know about the process. My issue would be - time-frames, how long would they visit after the 7 day period. What is the process after a first failed visit. Do they ring the defendant? Do all bailiffs do that? [Send writ] - assume it goes directly to bailiff.",Send writ of control - that hasn’t happened in the past once you’ve paid you money. I would expect that to happen since that is what I’m used to and it is just another thing for you to do. Once you have paid your money the writ should be sent. Maybe there is a legal thing.,,“[It’s] still not telling you the company that you are using.”,
18,Claimant dashboard - Writ of Control sent to HCEO,claimant-dashboard,case?writServed=true&simulateTimePassing=true&enforcementInPlay=true,,"What I expected. Simple. Not hard work. I would encourage people to see the guy first before all this action. If he is physically disabled you’re spending money for no reason. Need medical evidence early in the process, before I started all this. Have to be a bit conservative. If he had no engagement then send the bailiffs definitely. Nothing more to know, I’m happy. Timeframe? Within 7 days.",Doesn’t give any timings which I would be curious about. Maybe ‘in the next 4 weeks’ etc. Handy to know. Good that you can take steps if some payment has been made. I wonder if you get the 77 back if you cancel the writ. I assume you would not get the money back. Perhaps he has paid because of the threat of action.,Ok. Maybe add some links to help. FAQ? Chatbot. Nothing there for if you have questions.,Ok cool. It’s done the work that I said I would prefer them to do. That download and send e-mail before? Is that a step before? (Clash with email). I didn’t understand that they would send it for me.,Should also add that you won’t get money back if you cancel.,,There was some confusion about the process of sending the Writ to the HCEOs - conflicting with information on email?,
,SUMMARY FEEDBACK,summary,,,"50:30 - Not as frightening as my own process as it's laid out clearly and you're not filling out paper forms (errors hard to change), I can edit choices. So much easier than my own process. 51.15 - the drop down menu explaining terms. Some kind of email would be very helpful if you get stuck. It would be really helpful, speaking to a human being (with anything, not just court). Put your mind at rest. A real necessity when you do things online. 53 - I'd like a call from the bailiff saying they've got the money. Even a text asking her to call. Help my worries. I don't know how the actual bailliff service works...so communication throughout would be good. ",,,,"47.10 name - bit long isn't it? sounds less serious - needs to be serious.  no i think it needs to be called 'court' something. 48.34 yeah fine in summary - quite simple (like HMRC) uncomplicated and clear. how it needs to be. everyone's different. 51.25 should't be put off eveyine should have a chance to get their money back. if you're on a low income - how you can claim.
 'i just want to cause him as many problems as possible'",,,
,Place on AD scale,,,,8/9,,,,6/7,,,
